Kanji,Reading,Meaning,Japanese Example,English Example
現像,げんぞう,developing (film),この写真を現像してください。,Please develop this photo.
原則,げんそく,"principle, general rule",原則に従って行動する。,Act in accordance with the principle.
見地,けんち,point of view,物事を違った見地から考える。,Think about things from a different perspective.
現地,げんち,"actual place, local",現地の状況を調査する。,Investigate the local situation.
限定,げんてい,"limit, restriction",特定の条件下に限定される。,Be limited to specific conditions.
原点,げんてん,"origin (coordinates, starting point)",数学の原点を理解する。,Understand the origin in mathematics.
原典,げんてん,"original, source",彼はその古代の原典を研究している。,He is studying the ancient original text.
原爆,げんばく,atomic bomb,広島と長崎に原爆が投下された。,Atomic bombs were dropped on Hiroshima and Nagasaki.
原文,げんぶん,"the text, original",その原文を翻訳するのは難しい。,It's difficult to translate the original text.
厳密,げんみつ,"strict, close",詳細な計画が厳密に守られる。,Detailed plans are strictly followed.
賢明,けんめい,"wisdom, intelligence, prudence",賢明な意思決定が必要だ。,Wise decision-making is necessary.
倹約,けんやく,"thrift, economy, frugality",倹約をすることは賢明だ。,It's wise to be thrifty.
原油,げんゆ,crude oil,その国は原油を輸出する。,The country exports crude oil.
兼用,けんよう,"multi-use, combined use",この携帯電話は音楽プレーヤーとしても兼用できる。,This mobile phone can also be used as a music player.
権力,けんりょく,"(political) power, authority, influence",権力を行使する権利は責任を伴う。,The exercise of power comes with responsibility.
言論,げんろん,"discussion, speech",言論の自由は重要な基本的人権だ。,Freedom of speech is a fundamental human right.
故～,こ～,"deceased, late",故彼女のことを忘れられない。,I can't forget about my late girlfriend.
語彙,ごい,"vocabulary, glossary",日本語の語彙を増やす。,Expand your vocabulary in Japanese.
恋する,こいする,"to fall in love with, to love",彼は彼女に恋している。,He is in love with her.
甲,こう,1st in rank; shell,甲と乙、どちらが強いか。,"Between A and B, which one is stronger?"
～光,～こう,light,月光は優しい光である。,Moonlight is a gentle light.
好意,こうい,"good will, favor, courtesy",彼女からの好意に感謝する。,Appreciate the favor from her.
行為,こうい,"act, deed, conduct",違法な行為は許されない。,Illegal actions are not allowed.
合意,ごうい,"agreement, consent, mutual understanding",双方の合意を得る。,Obtain agreement from both parties.
工学,こうがく,engineering,工学の知識が必要だ。,Engineering knowledge is required.
抗議,こうぎ,"protest, objection",市民は政府に抗議した。,The citizens protested against the government.
合議,ごうぎ,"consultation, conference",重要な問題について合議する。,Consult on important matters.
皇居,こうきょ,Imperial Palace,日本の皇居は東京にある。,The Imperial Palace of Japan is located in Tokyo.
好況,こうきょう,"prosperous conditions, healthy economy",経済状況が好況に転じた。,The economic situation has turned prosperous.
鉱業,こうぎょう,mining industry,その地域では鉱業が盛んだ。,Mining industry is flourishing in that region.
興業,こうぎょう,starting a business; industry,新しい事業を興業する。,Start a new business.
高原,こうげん,"tableland, plateau",夏には高原で涼んで過ごしたい。,I want to spend a cool summer on the plateau.
交互,こうご,"mutual, reciprocal, alternate",議論が交互に行われた。,The debate was conducted alternately.
煌々と,こうこうと,brightly,夜空に星々が煌々と輝いていた。,The stars were shining brightly in the night sky.
考古学,こうこがく,archeology,古代文明を考古学の視点から学ぶ。,Study ancient civilizations from an archeological perspective.
工作,こうさく,"handicraft, maneuvering",家庭科の授業で工作をする。,Do handicrafts in home economics class.
耕作,こうさく,"cultivation, farming",その地域では稲作が盛んに耕作されている。,Rice cultivation is actively practiced in that region.
鉱山,こうざん,mine,その鉱山から貴重な鉱石が採掘された。,Precious ores were excavated from the mine.
講習,こうしゅう,"short course, training",新人向けの講習を受ける。,Take a training course for beginners.
口述,こうじゅつ,verbal statement,口述筆記をする。,Take dictation.
控除,こうじょ,"subsidy, deduction",この経費は控除されます。,This expense will be deducted.
交渉,こうしょう,negotiation,彼は交渉に成功した。,He succeeded in the negotiation.
高尚,こうしょう,"high, noble, refined",高尚な品味を持つ。,To have refined taste.
向上,こうじょう,"rise, improvement, progress",努力による向上が必要だ。,Effort is necessary for improvement.
行進,こうしん,"march, parade",パレードの行進が始まった。,The parade started its march.
香辛料,こうしんりょう,spices,料理に香辛料を加える。,Add spices to the dish.
降水,こうすい,"rainfall, precipitation",今日は降水確率が高い。,There is a high chance of rainfall today.
洪水,こうずい,flood,大雨で洪水が発生した。,Floods have occurred due to heavy rain.
合成,ごうせい,"synthetic, mixed",合成資料を使用する。,Use synthetic materials.
公然,こうぜん,openly,公然と表明する。,Declare openly.
抗争,こうそう,"dispute, resistance",両者の抗争が続いている。,The dispute between both sides continues.
構想,こうそう,"plan, plot, idea, conception",新しいプロジェクトの構想を練る。,Develop a plan for the new project.
後退,こうたい,"retreat, backspace",敵が後退した。,The enemy retreated.
光沢,こうたく,"luster, glossy finish (of photographs)",写真に光沢を出す。,Add gloss to the photograph.
公団,こうだん,public corporation,そのビルは公団が管理している。,The building is managed by a public corporation.
好調,こうちょう,"satisfactory, in good shape",ビジネスは好調だ。,The business is in good shape.
口頭,こうとう,oral,口頭での了解を得る。,Obtain verbal consent.
講読,こうどく,reading,新聞の講読を止める。,Stop subscribing to the newspaper.
購読,こうどく,subscription,雑誌の購読を申し込む。,Subscribe to the magazine.
購入,こうにゅう,"purchase, buy",今日は新しいコートを購入した。,I bought a new coat today.
公認,こうにん,"official recognition, authorization",公認のイベントに出席する。,Attend the officially recognized event.
光熱費,こうねつひ,cost of fuel and light,光熱費が高すぎる。,The cost of fuel and light is too high.
購買,こうばい,"purchase, buy",オンラインでの購買が便利だ。,Online shopping is convenient.
好評,こうひょう,"popularity, favorable reputation",この映画は好評だ。,This movie is popular.
交付,こうふ,"delivering, furnishing (with copies)",資料の交付が完了した。,The delivery of documents is complete.
公募,こうぼ,"public appeal, public contribution",新しいプロジェクトに向けて公募する。,Make a public appeal for the new project.
巧妙,こうみょう,"ingenious, skillful, clever",彼女は巧妙な計画を立てた。,She devised a clever plan.
公用,こうよう,"government business, public use, public expense",公用車で出張する。,Go on a business trip in a company car.
小売,こうり,retail,その店は小売業を行っている。,The store is engaged in retail business.
効率,こうりつ,efficiency,効率的に仕事を進める。,Proceed with work efficiently.
公立,こうりつ,public institution,彼は公立学校に通っている。,He attends a public school.
護衛,ごえい,"guard, convoy, escort",要人の護衛を担当する。,Be in charge of escorting VIPs.
コーナー,コーナー,corner,飲食店の一番奥にコーナーがある。,There is a corner at the back of the restaurant.
小柄,こがら,"small, diminutive",小柄な体格の女性。,A petite woman.
小切手,こぎって,"cheque, check",小切手で支払う。,Make payment by check.
国産,こくさん,domestic products,国産の自動車を選ぶ。,Choose a domestically produced car.
国定,こくてい,"state-sponsored, national",国定記念日は大切な日だ。,National holidays are important days.
告白,こくはく,"confession, acknowledgment",恋人に愛を告白する。,Confess love to a partner.
国防,こくぼう,national defense,国防力を強化する。,Strengthen national defense.
国有,こくゆう,national ownership,この土地は国有地だ。,This land is state-owned.
極楽,ごくらく,paradise,彼は極楽に行くと信じている。,He believes he will go to paradise.
国連,こくれん,"U.N., United Nations",その会議は国連で行われました。,The meeting was held at the United Nations.
焦げ茶,こげちゃ,dark brown,焦げ茶の家具が部屋を引き立てる。,The dark brown furniture adds to the room.
語源,ごげん,"word root, word derivation, etymology",言葉の語源を探るのが好きです。,I enjoy exploring the etymology of words.
心地,ここち,"feeling, sensation, mood",この部屋の心地がいい。,The feeling in this room is pleasant.
心得,こころえ,"knowledge, information",その事実をよく心得ています。,I am well aware of that fact.
心掛け,こころがけ,"readiness, intention, aim",仕事に真剣に心掛ける。,I approach work with seriousness.
心掛ける,こころがける,"to bear in mind, to aim to do",学生たちは成功を心掛けています。,The students strive for success.
志,こころざし,"will, intention, motive",彼は高い志を持っています。,He has high aspirations.
志す,こころざす,"to plan, to intend, to aspire to",新しいキャリアを志す。,To aspire to a new career.
心強い,こころづよい,"heartening, reassuring",先生の助言はとても心強い。,The teacher's advice is very reassuring.
心細い,こころぼそい,"helpless, hopeless, discouraging",困っている友人に心細さを感じる。,I feel the helplessness of my friend in trouble.
試み,こころみ,"trial, experiment",新しいアイデアを試みる。,To try a new idea.
試みる,こころみる,"to try, to test",料理を試みるのが好きです。,I enjoy trying out new recipes.
快い,こころよい,"pleasant, agreeable",彼女は快い笑顔を持っている。,She has a pleasant smile.
誤差,ごさ,error,計算の誤差を修正する。,Correcting the error in calculation.
ございます (かん),ございます (かん),"to be (polite, to exist)",その店にはたくさんの商品がございます。,There are many products in that store.
孤児,こじ,orphan,孤児院で子供たちを支援する。,Supporting children in an orphanage.
こじれる,こじれる,"to get complicated, to grow worse",状況がこじれた。,The situation has worsened.
こす (みずを～),こす (みずを～),"to strain, to filter",細かな粒子を水でこす。,Strain the fine particles with water.
梢,こずえ,treetop,木の梢に小鳥がとまっている。,A little bird is perched on the treetop.
個性,こせい,"individuality, personality, idiosyncrasy",彼女の個性は際立っている。,Her individuality stands out.
戸籍,こせき,"census, family register",新しい家族が戸籍を更新した。,The new family updated their family register.
古代,こだい,ancient times,エジプトの古代文明に興味がある。,I am interested in ancient Egyptian civilization.
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",冬はこたつが暖かい。,"In winter, the kotatsu is warm."
こだわる,こだわる,"to fuss over, to be particular about",料理にこだわりを持つ。,To have a strong preference in cooking.
誇張,こちょう,exaggeration,物語には誇張が多い。,There are many exaggerations in the story.
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",成功のこつをつかむ。,To grasp the secret of success.
